MoleculeIdx,ProtonatedIdx,ReferenceSmiles,ProtonatedSmiles,NeutralEnergy,ProtonatedEnergy
167,0,CN1CC(F)(F)C1,C[NH+]1CC(F)(F)C1,-96.28944,-78.8819
168,0,CC1(C)CC(=O)N1,CC1(C)CC(=O)[NH2+]1,-44.20581,-52.64422
169,0,CC1(C)CC1(C)N,CC1(C)CC1(C)[NH3+],-3.74169,22.98274
170,0,CC1(N)CC1(C)N,CC1(N)CC1(C)[NH3+],2.74352,32.04842
170,1,CC1(N)CC1(C)N,CC1(N)CC1(C)[NH3+],2.74352,32.0674
171,0,CC1(N)CC1(C)O,CC1([NH3+])CC1(C)O,-42.72213,-14.11468
172,0,CC1(N)CC1(C)F,CC1([NH3+])CC1(C)F,-43.60253,-17.01062
173,0,CC1(N)CC1(F)F,CC1([NH3+])CC1(F)F,-87.21295,-63.32867
174,0,CC1(C)NC1(C)C,CC1(C)[NH2+]C1(C)C,-3.51673,-14.92253
175,0,CCC(C)(C)CN,CCC(C)(C)C[NH3+],-33.02511,-4.59769
176,0,CC(C)(CN)CN,CC(C)(CN)C[NH3+],-22.84316,9.33903
176,1,CC(C)(CN)CN,CC(C)(CN)C[NH3+],-22.84316,7.9068
177,0,CC(C)(CN)CO,CC(C)(C[NH3+])CO,-71.89313,-38.16405
178,0,CC(C)(CN)CF,CC(C)(C[NH3+])CF,-71.75887,-42.95961
179,0,CCC(C)(N)CC,CCC(C)([NH3+])CC,-34.56338,-9.8085
180,0,CCC(C)(N)CN,CCC(C)([NH3+])CN,-24.34265,-0.17972
180,1,CCC(C)(N)CN,CCC(C)(N)C[NH3+],-24.34265,3.3096
181,0,CCC(C)(N)CO,CCC(C)([NH3+])CO,-73.70767,-45.73864
182,0,CCC(C)(N)CF,CCC(C)([NH3+])CF,-73.64138,-49.90776
183,0,CC(N)(CN)CN,CC([NH3+])(CN)CN,-13.09712,9.79175
183,1,CC(N)(CN)CN,CC(N)(CN)C[NH3+],-13.09712,15.40102
